root_seed,domain,scheme,trajectory_id,target_slot,prediction_nmse,actual_weighted_throughput_bps,joint_qos_outage,minimum_actual_sinr,maximum_constraint_violation,minimum_design_payload_bits,maximum_design_payload_bits,mean_design_payload_bits,design_payload_bits_user_1,design_payload_bits_user_2,design_payload_bits_user_3,design_payload_bits_user_4,mean_causal_channel_variation,causal_channel_variation_user_1,causal_channel_variation_user_2,causal_channel_variation_user_3,causal_channel_variation_user_4,mean_conditional_innovation_standard_deviation,conditional_innovation_standard_deviation_user_1,conditional_innovation_standard_deviation_user_2,conditional_innovation_standard_deviation_user_3,conditional_innovation_standard_deviation_user_4,control_total_s
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,3,0.0,191543536.0,0,0.3614574372768402,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06324414722621441,0.07912760227918625,0.06733053922653198,0.0522279217839241,0.0542905256152153,1.5812078117960482e-05,1.5475407053600065e-05,1.641031849430874e-05,1.3458185094350483e-05,1.790440182958264e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,4,0.0,198508400.0,0,0.3771471083164215,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06142237223684788,0.07959138602018356,0.0539185032248497,0.04835480451583862,0.06382479518651962,1.5174611689872108e-05,1.6183576008188538e-05,1.472293479309883e-05,1.3200404282542877e-05,1.659153167565819e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,5,0.0,203517312.0,0,0.38307809829711914,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06466943863779306,0.09271830320358276,0.0516040101647377,0.05454428493976593,0.05981115624308586,1.5655893093935447e-05,1.682273250480648e-05,1.55204652401153e-05,1.3125902114552446e-05,1.715447251626756e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,6,0.0,209687200.0,0,0.3935587406158447,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06620493717491627,0.09967618435621262,0.058270178735256195,0.05187089741230011,0.05500248819589615,1.5809019259904744e-05,1.660108864598442e-05,1.6692494682502e-05,1.2900105502922088e-05,1.7042388208210468e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,7,0.0,214017744.0,0,0.4054814577102661,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06896297261118889,0.09462706744670868,0.0625884011387825,0.051188141107559204,0.06744828075170517,1.6375528502976522e-05,1.7032502000802197e-05,1.6347803466487676e-05,1.4076611478230916e-05,1.80451970663853e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,8,0.0,219441712.0,0,0.4092296063899994,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06657538563013077,0.07667770981788635,0.05934114754199982,0.05366590619087219,0.07661677896976471,1.5700246422056807e-05,1.6698622857802548e-05,1.549792432342656e-05,1.4253779227146879e-05,1.6350659279851243e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,9,0.0,221388992.0,0,0.41518402099609375,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06436916440725327,0.08452929556369781,0.050443075597286224,0.05309607833623886,0.06940820813179016,1.5656670711905463e-05,1.7802838556235656e-05,1.6411728211096488e-05,1.3246853995951824e-05,1.5165262084337883e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,10,0.0,220254656.0,0,0.4121626317501068,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06371689401566982,0.08614134043455124,0.05360296368598938,0.05505034327507019,0.06007292866706848,1.5947997326293262e-05,1.800102472770959e-05,1.5878687918302603e-05,1.4072786143515259e-05,1.5839490515645593e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,11,0.0,221038064.0,0,0.4081065356731415,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.060084523633122444,0.07848846912384033,0.0532606765627861,0.05130884796380997,0.057280100882053375,1.5727418940514326e-05,1.7238349755643867e-05,1.6227220839937218e-05,1.3521792425308377e-05,1.5922312741167843e-05,0.001646531250003136
701,in_domain,perfect_next_slot_csi_primal_dual_unfolding,in-domain-test-00000,12,0.0,225436544.0,0,0.42015522718429565,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.06710466463118792,0.10401736199855804,0.05140535160899162,0.050260357558727264,0.06273558735847473,1.5754915011712e-05,1.849144246079959e-05,1.6277164831990376e-05,1.2364157555566635e-05,1.5886895198491402e-05,0.001646531250003136
